i,forum,global_ms,tenant_ms
0,android,2.2125209980004,3.296328999567777
0,android,3.3721579966368154,4.027394999866374
0,android,2.305637997778831,3.233679999539163
0,android,2.125050999893574,3.3359929984726477
0,android,2.569374999438878,3.4366600011708215
0,android,2.685077997739427,2.735747999395244
0,android,2.1823870010848623,3.1336380016000476
0,android,2.7018660002795514,3.6141880009381566
0,android,2.1781849973194767,2.927330002421513
0,android,1.9811800011666492,3.0926489998819306
0,android,2.432911001960747,3.107311000349
0,android,2.193577998696128,2.781306000542827
0,android,2.0869149993814062,3.2954989983409178
0,android,2.403820999461459,3.4820079999917652
0,android,2.34078799985582,2.8159510002296884
0,android,2.40324399783276,3.1901479997031856
0,android,2.556068000558298,3.2541030013817362
0,android,2.1122349971847143,2.6426869990245905
0,android,2.027167000051122,2.8037429983669426
0,android,2.456435999192763,3.4064240026054904
1,android,1.604192002560012,2.0062090006831568
1,android,1.8159270002797712,2.311244999873452
1,android,2.144075999240158,2.4301639969053213
1,android,1.9743209995795041,2.1097799981362186
1,android,1.673474002018338,2.219967998826178
1,android,1.6443019994767383,2.2850540008221287
1,android,2.0429439973668195,2.702563000639202
1,android,2.2079779992054682,2.2795709992351476
1,android,1.7184099997393787,2.0057630026713014
1,android,1.8278130010003224,2.438560000882717
1,android,2.0526560001599137,2.5710359986987896
1,android,2.5320859967905562,2.418042000499554
1,android,2.144914000382414,2.318216000276152
1,android,1.8650880010682158,2.4545449996367097
1,android,1.8558029987616464,2.5506829988444224
1,android,1.7488749981566798,2.083596002194099
1,android,1.7593530028534587,2.455497997289058
1,android,2.643768002599245,2.7930600008403417
1,android,2.269185999466572,2.7572309991228394
1,android,1.786269000149332,2.744579000136582
2,android,2.3938069971336517,3.0648060019302648
2,android,2.2688240023853723,3.2399060000898317
2,android,2.607885002362309,3.631980998761719
2,android,2.2932300016691443,3.057863003050443
2,android,2.2740730018995237,3.4569830022519454
2,android,2.8419400005077478,3.397061002033297
2,android,2.2202039981493726,3.0527379967679735
2,android,2.4862380014383234,3.343000000313623
2,android,2.9198140000517014,3.0996620007499587
2,android,2.1130679997440893,3.14715599961346
2,android,2.5361520019941963,3.3291340005234815
2,android,2.6963650016114116,3.309054998680949
2,android,2.2225989996513817,2.952554998046253
2,android,2.473797998391092,3.4670550012378953
2,android,2.273488000355428,2.894555000239052
2,android,2.0406189978530165,2.974996001285035
2,android,2.240322999568889,3.0337060015881434
2,android,3.094463998422725,3.6564090005413163
2,android,2.6870600013353396,3.4300709994568024
2,android,2.753927998128347,3.318438000860624
3,android,2.61024700012058,3.838761997030815
3,android,2.424562997475732,3.6420760006876662
3,android,2.959294000902446,3.666532000352163
